itemID	titleID	item_year	title	subject	taxa_identified	language	pages	BHL_upload
87556	38774	1920	Transactions - The Society of Naval Architects and Marine Engineers.  	Society of Naval Architects and Marine Engineers (	7	ENG	472	2009
56158	16362	1923	Founders of oceanography and their work; an introduction to the science of the sea		270	ENG	426	2009
71566	28699	1896	The natural history of the marketable marine fishes of the British Islands		120	ENG	400	2009
176579	98114	1902	#14 Hawaiian explorations, dr 4005-4034, hy 4464-4483, June 17th - July 9th, 1902	Marine biology	1		103	2014
90315	40691	1822	The duplicate letters, the fisheries and the Mississippi. Documents relating to transactions at the negotiation of Ghent.		4	ENG	276	2010
18677	2167	1892	Ergebnisse der in dem Atlantischen Ocean von Mitte Juli bis Anfang November 1889 ausgeführten Plankton-Expedition der Humboldt-Stiftung. Auf Frund von gemeinschaftlichen Untersuchungen einer Reihe von Fach-Forschern.		47	GER	120	2008
49010	13937	1835	Icones vermium : indicem systematicum	Marine animals	67	LAT	160	2009
91744	41593	1916	Alaska fisheries. Hearings before the Committee on the merchant marine and fisheries, House of representatives, Sixty-fourth Congress, first session, on H. R. 9528, a bill for th protection, regulation, and cnservation of the fisheries of Alaska.		16	ENG	408	2010
31163	2169	1895	Résultats des campagnes scientifiques accomplies sur son yacht par Albert Ier, prince souverain de Monaco ...	Marine animals	78	FRE	57	2008
99817	45888	1954	Commercial fisheries review.		27	ENG	64	2010
99681	45888	1955	Commercial fisheries review.		37	ENG	82	2010
77477	33056	1884	The fisheries and fishery industries of the United States.		147	ENG	842	2009
234033	115788	1879	The sea-shore	Marine animals	144	ENG	268	2017
90279	40655	1888	Official report of the speech of Hon. Sir Charles Tupper, G.C.M. G., C.B. minister of finance of Canada, and one of Her Majesty's plenipotentiaries at the Washington Fishery Conference, on the Fishery Treaty, delivered in the House of Commons of Canada, April 10th, 1888. 		6	ENG	27	2010
202530	116655	1860	The sea and its living wonders	Marine animals	429	ENG	504	2016
47841	13364	1883	The fisheries of the Bahamas		39	ENG	62	2009
295810	180639	1955	Vema cruise 8, October 30, 1955 - January 9, 1956	Marine biology	10	ENG	73	2021
176669	98190	1888	No. 1, April 14th 1888, July 29th 1888, dr 2817 to 2845, hyd 1125 to 1191	Marine biology	0		212	2014
240490	68645	1904	Om algevegetationen ved Faerøernes kyster en plantegeografisk undersøgelse	Marine algae	378	DAN	170	2017
222070	128014	1887	Hydrographic Sheet 1771, 1887	Marine invertebrates	0	ENG	1	2017
35049	8245	1906	L.M.B.C. memoirs on typical British marine plants and animals	Marine biology	143	ENG	130	2008
28173	6247	1875	The marine invertebrates and fishes of St. Andrews	Marine invertebrates	1244	ENG	252	2008
31150	7354	1861	Ein Ausflug nach Triest und dem quarnero.  	Marine animals	1190	GER	216	2008
159024	83603	1901	Dredging and other records of the United States Fish Commission steamer Albatross	Marine animals	2142	ENG	210	2014
85282	38075	1811	Political essay on the kingdom of New Spain containing researches relative to the geography of Mexico, the extent of its surface and its political division into intendancies, the physical aspect of the country, the population, the state of agriculture and manufacturing and commercial industry, the canals projected between the South Sea and Atlantic Ocean, the crown revenues, the quantity of the precious metals which have flowed from Mexico into Europe and Asia, since the discovery of the new continent and the military defence of New Spain		116	ENG	528	2009
177136	98457	1913	H 5329-, d 5837-	Marine biology	3		99	2015
93954	43026	1915	Report on the work and administration of the Board of commissioners on fisheries and game		1	ENG	64	2010
192549	110022	1897	Report on the trawling excursions carried on during the summer of  ... and on the Marine Laboratory at Cullercoats.		24	ENG	26	2015
177109	98451	1898	Original logbooks of the "Fish Hawk" United States Fish Commission station numbers, yr 1898, 6027 to 6075	Marine invertebrates	1		101	2015
80326	35169	1911	Lands, fisheries and game, minerals.  		93	ENG	605	2009
177177	98490	1915	H 6112	Marine biology	1		100	2015
65821	24487	1887	Papers, literary, scientific, & c.	Cables, Submarine	51	ENG	468	2009
94851	43722	1899	The salmon and salmon fisheries of Alaska. Report of the operations of the United States fish commission steamer Albatross for the year ending June 30, 1898.  		24	ENG	334	2010
201112	115788	1879	The sea-shore	Marine animals	154	ENG	268	2016
49892	13678	1921	Contributions to Canadian biology.	Marine biology	465	ENG	220	2009
268861	11139	1856	Reports of explorations and surveys, to ascertain the most practicable and economical route for a railroad from the Mississippi River to the Pacific Ocean		167	ENG	676	2019
101044	46716	1948	Some oceanographic observations on operation HIGHJUMP : final report	Marine sediments	80	ENG	100	2010
30010	15915	1904	Annual report of the Commissioners of Inland Fisheries made to the General Assembly		14	ENG	162	2008
181953	101985	1883	Sea monsters unmasked.		54	ENG	128	2015
222389	128319	1888	Hydrographic Sheet No. 1880, 1888	Marine invertebrates	0	ENG	1	2017
30119	15915	1906	Annual report of the Commissioners of Inland Fisheries made to the General Assembly		447	ENG	446	2008
268329	160024	1927	In ocean land		5	ENG	136	2019
255999	30335	1858	The sea-side and aquarium, or, Anecdote and gossip on marine zoology	Marine animals	102	ENG	212	2018
24437	4956	1880	Recherches zoologiques et histologiques sur les zoanthaires du golfe de Marseille.	Marine animals	104	FRE	212	2008
44742	11991	1899	The Lancashire sea fisheries : a lecture delivered in the Chadwick Museum, Bolton, May 24th, 1899		8	ENG	104	2009
200799	115565	1866	Le monde de la mer	Marine animals	427	FRE	786	2016
52780	15536	1919	Annual report of the Commissioner of Fisheries to the Secretary of Commerce for the fiscal year ended ...  		242	ENG	454	2009
177173	98486	1908	No 3, from d 5154 to d 5215	Marine biology	1		104	2015
213969	122576	1868	The ocean world: being a descriptive history of the sea and its living inhabitants.	Marine animals	738	ENG	690	2016
130070	64001	1909	Special report on the fish and fisheries of Manitoba 		22	ENG	16	2013
87363	39389	1952	On wind generated ocean waves with special reference to the problem of wave forecasting		2	ENG	148	2009
17260	6206	1947	The Biological bulletin	Marine biology	306	ENG	340	2008
240823	142135	1924	Waldo L. Schmitt Papers : station notes, Tortugas, Florida, 1924.	Marine biology	0	ENG	28	2017
177148	98466	1917	H 7770 to h 7793	Marine biology	0		101	2015
245921	145951	1878	Notice sur les produits maritimes du littoral algérien.	Marine fishes	3	FRE	40	2018
87861	39573	1936	Report of oceanographic cruise, United States Coast Guard cutter Chelan, Bering Sea and Bering Strait, 1934.  		4	ENG	376	2009
122055	59823	1898	Notes on some Scottish marine isopods. 		51	ENG	16	2012
193079	2169	1901	Résultats des campagnes scientifiques accomplies sur son yacht par Albert Ier, prince souverain de Monaco ...	Marine animals	5	FRE	96	2015
18680	2169	1902	Résultats des campagnes scientifiques accomplies sur son yacht par Albert Ier, prince souverain de Monaco ...	Marine animals	9	FRE	94	2008
28817	6425	1956	The underwater guide to marine life	Marine biology	901	ENG	376	2008
78035	10543	1879	Manual of conchology, structural and systematic : with illustrations of the species	Marine invertebrates	2628	ENG	486	2009
18766	2167	1892	Ergebnisse der in dem Atlantischen Ocean von Mitte Juli bis Anfang November 1889 ausgeführten Plankton-Expedition der Humboldt-Stiftung. Auf Frund von gemeinschaftlichen Untersuchungen einer Reihe von Fach-Forschern.		218	GER	238	2008
190151	108127	1914	Economic conditions in the Sea Island cotton industry		1	ENG	22	2015
31336	2169	1912	Résultats des campagnes scientifiques accomplies sur son yacht par Albert Ier, prince souverain de Monaco ...	Marine animals	51	FRE	52	2008
18732	2167	1892	Ergebnisse der in dem Atlantischen Ocean von Mitte Juli bis Anfang November 1889 ausgeführten Plankton-Expedition der Humboldt-Stiftung. Auf Frund von gemeinschaftlichen Untersuchungen einer Reihe von Fach-Forschern.		29	GER	26	2008
31139	2169	1908	Résultats des campagnes scientifiques accomplies sur son yacht par Albert Ier, prince souverain de Monaco ...	Marine animals	151	FRE	200	2008
53777	15323	1911	Report of the Commissioner of Fisheries to the Secretary of Commerce and Labor for the fiscal year ended ...		157	ENG	616	2009
38976	9502	1947	Fishery leaflet		4	ENG	22	2008
17105	6206	1912	The Biological bulletin	Marine biology	199	ENG	542	2008
79260	34354	1910	Organization and sessional business of the Fourth International fishery congress, Washington ... 1908. From Bulletin of the Bureau of fisheries, volume XXVIII, 1908. 		19	ENG	88	2009
220941	127477	1882	Hydrographic sheet, no. 1521, 1882	Marine invertebrates	0	ENG	1	2017
85355	38119	1938	Instructions to marine meteorological observers.  	Marine meteorology	8	ENG	134	2009
